index,split,origin_error_mm,origin_to_Y_mm,corner_rms_mm,reprojection_rms_px,board_rotation_error_deg
0,train,4.30750049397538,4.307500493966162,4.397201911533335,7.241420291170794,1.336745559185124
1,train,6.6128455222486116,6.612845522251454,6.053037302128566,9.764319067850185,2.558156483143979
2,train,5.591028953656844,5.591028953698665,5.518323760235216,9.144536898647573,1.9286322322109775
3,train,6.673086062451507,6.6730860624428985,6.292205532591322,10.22722651177132,2.2951791033166895
4,train,10.299018496406756,10.299018496432234,9.02514969157559,15.288771917281618,2.017228102745297
5,train,4.300244789801513,4.300244789703515,4.820310737719659,6.885559102493374,1.044304031457543
6,train,9.703929060271577,9.703929060189369,9.74147922729318,17.385748034359548,1.4495797779119604
7,train,2.840664697444688,2.840664697315374,3.5319704114939108,3.693730488724883,0.7400673086361461
8,train,10.617382302093036,10.61738230212743,10.251382440326578,18.499210025068106,1.2441555153388912
9,train,11.19121351415507,11.19121351411476,11.143007305872265,20.27564648645368,0.5080957407622223
10,train,5.502375418155784,5.502375418191893,5.140890851588255,8.597685360894758,1.6932229963897287
11,train,8.050084711540938,8.05008471161304,6.770808381698331,11.095469250232624,2.160137351850847
12,train,11.819936457276345,11.819936457319798,9.772714689934483,16.326348645519147,2.561143798211472
13,train,12.809631666996388,12.809631666888368,12.200014048660748,22.545758933307123,2.2036212054494113
14,train,7.936301462807547,7.9363014628292445,6.938741389411303,11.66596390570755,1.6040473319570991
15,train,8.087841565038909,8.087841565103393,8.683820923752629,14.55518505804488,2.36693896988298
16,train,4.319858699721584,4.319858699613977,4.289392183633617,4.349828975871613,0.36138455329996716
17,train,11.210494917812762,11.210494917747692,11.242320630264702,20.601474491439475,0.7352363408750583
18,train,10.553590124642305,10.553590124726423,10.535218140640723,18.749747180752962,0.20779532636974704
19,train,6.846674380457376,6.846674380500982,7.050992744261146,11.549764648099599,2.712236518405948
20,train,11.54797438508892,11.54797438500559,11.500468596225295,21.150391237479162,1.2202972026974974
21,train,7.892850262424852,7.892850262487549,8.406848711399874,14.109490676506061,2.247673525340018
22,train,5.847334246335568,5.847334246328511,4.7968063499133295,7.4783060082456965,1.8525915131463784
23,train,8.958935548582259,8.958935548533786,8.836700820351624,15.489320739822144,1.0917421742639821
24,train,2.999520043305121,2.9995200432276885,3.184335886911618,3.0343372792906647,0.5138754030384202
25,train,6.98480603476805,6.984806034702011,7.09424488594557,12.016774283687486,1.507121441618197
26,train,5.996305392287212,5.996305392230526,6.1796646988379536,10.358696386106908,1.5259876475483942
27,train,5.59848129020769,5.598481290175659,5.225293761687832,7.544528031618581,1.2744817469536067
28,train,8.392739902248868,8.392739902321075,9.063012737662762,15.22395199527186,2.29198443837742
29,train,11.346194187729019,11.34619418776861,9.68183617159147,16.271431491918158,2.2866652040460753
30,train,4.616553214822302,4.616553214824379,4.307892415768003,6.058213445650376,0.8572408595621206
31,train,10.415480897728795,10.41548089777455,10.103825779618061,18.175597460377116,0.6333373423251292
32,train,6.3837785989664075,6.383778598955737,4.931692442204054,7.70765450320059,2.2772290489545277
33,train,5.415364498322906,5.41536449830559,4.387658529744985,6.286550939032829,1.2788148535443171
34,train,12.116514925722948,12.11651492571193,11.536945239430683,20.8499178944618,1.6654315181727468
35,train,5.747987168391008,5.747987168365007,4.976285600634852,7.232616164155053,1.1935378011215232
36,train,4.416346170523468,4.416346170421437,4.557939417742829,5.490340034859391,0.5060042602605752
37,train,2.9631315022247358,2.9631315021473448,2.945299385159841,1.2022257705189856,0.09102487825140079
38,train,5.420451783412233,5.4204517833264205,5.778788040484482,9.146771216093859,1.301369856562202
39,train,8.381259843262193,8.381259843306909,7.4310495207836205,12.442882488676785,2.2133343819017592
40,train,7.0930989095026735,7.093098909504689,7.095461763139599,11.845785849969564,2.0719939276933896
41,train,3.7750752550079087,3.7750752548781117,4.082866311839891,3.9664348561828544,0.34925285823527646
42,train,7.8317144844659,7.8317144845142455,7.990148597954034,13.70044312694234,1.677873188162063
43,train,11.975130700371258,11.975130700471373,11.761455460199674,21.204470588772274,0.43031928470819564
44,train,6.276137929481712,6.276137929474833,6.039735129756964,10.138821532398715,1.7538776769211917
45,train,9.128012266873384,9.128012266859322,8.495495218787315,14.653866745079066,1.500919131047198
46,train,4.189639073853509,4.189639073801984,4.4214908943849345,7.195422870587608,1.3194683067552215
47,train,10.327119442183758,10.327119442252098,10.21838871040719,18.267726387132196,0.14534136650345184
48,train,3.400991212839777,3.400991212713569,3.48781779463413,2.403235770397128,0.3672643570390051
49,train,12.616949241590829,12.616949241695744,12.20796952308322,22.195843125226535,0.8874277636425946
50,train,5.236736442451126,5.236736442461698,4.942273084686738,7.857189359373293,1.606027218885688
