index,split,origin_error_mm,origin_to_Y_mm,corner_rms_mm,reprojection_rms_px,board_rotation_error_deg
0,train,1.7210455415987769,1.7384512458635375,2.0825830291542893,2.383316629188826,1.333471638599306
1,train,3.9688330400921896,3.9689222445248906,2.2771690826977085,0.7296528351966591,2.5595247120427134
2,train,0.2365558024952538,0.23132028847544786,2.0114158732613525,0.7962153497401999,1.9146148699728875
3,train,3.4713030379797645,3.471342927813512,2.327439226634791,1.8431978199711792,2.301300892909776
4,train,5.882100150330005,5.879379935958868,3.1553795772903213,2.313850972543866,1.9998755736778937
5,train,2.1057517933282868,2.12484855694761,2.9376452615550135,3.1364957007352046,1.046089743087476
6,train,1.9316640122402042,1.9194652475850598,2.4523297826483836,1.9831139505653725,1.497073557210194
7,train,2.795338255546844,2.8122781517255735,3.47005749904449,3.565817812001495,0.7391512606144313
8,train,2.6353376438965834,2.6360697451161084,2.3270758793227984,0.7934627424896962,1.2557368117968
9,train,3.5202223219941278,3.511803122817903,3.4904566214054276,3.245414946193049,0.5201069881176065
10,train,2.163174129125749,2.177034217832017,2.0685586396065694,2.3380537828461776,1.6870218569597901
11,train,4.170433251448998,4.176315106181451,2.511295501464695,2.094445443659502,2.148537747719937
12,train,7.334307473663343,7.330779275995893,3.911254650607343,2.321146939862148,2.5453205801407814
13,train,2.6342586409109856,2.6207077959956306,2.6652379797371726,2.9020198804937136,2.265067360939155
14,train,4.993013363307774,4.9977638210559645,2.8816553454093237,2.296396235471559,1.5855123541668443
15,train,0.7168228862635099,0.7182861467604315,2.9407291183678983,1.2086187761513507,2.3731352147820175
16,train,3.5949746813893437,3.5916616640882566,3.6752264014535547,1.405801393363064,0.3678801454802038
17,train,2.372738298590508,2.3583249521531844,3.1524671377655364,3.035269480712191,0.8102174582764102
18,train,2.9614979705772653,2.963305600976423,3.1336278217232993,1.7815918350027322,0.3114101873213498
19,train,3.5642285167870464,3.5568737444901677,2.6841413369356855,2.0234556241116084,2.7099590815839543
20,train,1.768538430645237,1.747859138870084,2.9678541073723346,2.9232422806563916,1.2879255790297743
21,train,0.5305826403993613,0.5352565882510253,2.8378619020884175,1.4074957533031822,2.2559438945837296
22,train,5.086570072863173,5.083592158465216,3.0056224315323865,1.4804498572096823,1.837849208178244
23,train,3.3167788997251666,3.31046785937841,2.4355798589901996,1.8363239788656103,1.1078483280750062
24,train,3.68297850260015,3.6956541836949697,3.8693960218651107,3.4612242028299205,0.5147993979194188
25,train,1.9366220168488881,1.9304600486381995,1.3868355392845573,1.2674067479954612,1.5133352760877359
26,train,1.7803671608396818,1.7774497653464623,1.5414869190752005,1.5627651853740987,1.5295051011582623
27,train,3.423287160008875,3.431430030911023,2.936157122022588,2.131276217793548,1.2805739042813407
28,train,0.5213500254119717,0.5218874299026414,3.04820542119809,1.1194228254673277,2.298978177820144
29,train,6.784751627166204,6.782228074274962,3.66329470646828,2.5676388758742177,2.2700507831200425
30,train,4.185095993064123,4.193521637938567,3.788587007575208,2.6761195010741585,0.8426703894343565
31,train,2.87374806698784,2.873883542962051,2.453588282254217,0.7551909193894731,0.6719372945284068
32,train,5.7227126548569105,5.719519896078248,2.8188558024499324,1.6445672202738177,2.2694937374300816
33,train,5.093605888473304,5.091286746671805,3.427261600263002,1.331851021574697,1.2655800378123327
34,train,5.15723911483691,5.149584760853858,3.8610251264359934,3.1796733966048976,1.6434985018349857
35,train,4.738040867556041,4.741009644861975,3.3662574879764477,2.255217587060609,1.1964586539126782
36,train,2.69569836380005,2.6919268380641497,3.122646512558142,1.2763955571254635,0.5141707062371798
37,train,3.691555485580891,3.6896537936084823,3.712837943581864,2.017732851776218,0.08563935039107694
